hip,name,ra_deg,dec_deg,dist_pc,spec_type,gal_lat,exoplanet,bl_paper
7751,HIP7751,24.947917,-56.196389,8.1400,K0V,-59.6623,0,E17
7918,HIP7918,25.446250,42.613333,12.6000,G2V,-19.3000,0,E17
7978,HIP7978,25.622083,-53.740833,17.3000,F8V,-61.7694,1,E17
7981,HIP7981,25.624167,20.268333,7.4600,K1V,-41.0173,0,E17
8051,HIP8051,25.834167,4.321667,11.2000,M2V:,-56.1439,0,E17
8070,HIP8070,25.919583,63.823333,13.4000,K5V,1.5336,0,E17
GJ71,GJ71,26.017083,-15.937500,3.6500,G8.5V,-73.4397,0,E17
8209,HIP8209,26.411667,-25.052500,27.4000,F2IV,-77.6596,0,E17
8275,HIP8275,26.661250,12.411667,23.0000,K5,-48.2524,0,E17
8362,HIP8362,26.936667,63.852500,9.9700,K0V,1.6558,0,E17
8486,HIP8486,27.347500,10.703333,23.0000,G0,-49.6415,0,E17
8497,HIP8497,27.396250,10.686389,23.6000,F3III,-49.6409,0,E17
8543,HIP8543,27.532917,29.464444,26.7000,K1V,-31.6894,0,E17
8768,HIP8768,28.205000,-22.434722,11.0000,K5/M0V,-75.3113,0,E17
8867,HIP8867,28.525417,66.176111,22.1000,G5,4.0711,0,E17
8903,HIP8903,28.660000,20.807778,18.2000,A5V...,-39.6820,0,E17
9007,HIP9007,28.989583,-51.608889,17.4000,G5IV,-62.6658,0,E17
9044,HIP9044,29.135417,-60.226389,19.7000,K5V,-55.0873,0,E17
9085,HIP9085,29.250000,-51.766111,26.3000,F8V,-62.4462,0,E17
9094,HIP9094,29.290000,10.242222,33.9000,G5,-49.3728,1,E17
9153,HIP9153,29.482083,23.595833,40.8000,F0V,-36.7963,0,E17
9236,HIP9236,29.692500,-61.569722,21.8000,F0V,-53.7602,0,E17
9269,HIP9269,29.777500,33.209444,24.5000,G5,-27.5590,0,E17
GJ83.1,GJ83.1,30.055000,13.052222,4.4400,M4.0V,-46.4907,0,E17
9480,HIP9480,30.489583,70.906944,35.8000,A3IV,8.8272,0,E17
9487,HIP9487,30.511667,2.763611,42.6000,A2,-55.5998,0,E17
9598,HIP9598,30.858750,72.421111,49.7000,A2V,10.3145,0,E17
9716,HIP9716,31.247083,-15.678056,25.5000,K0V,-69.4472,0,E17
9724,HIP9724,31.270000,-17.614444,9.4300,M3,-70.5324,0,E17
9727,HIP9727,31.280833,77.281111,33.5000,F0Vn,15.0041,0,E17
9829,HIP9829,31.625833,24.333889,23.1000,G2V,-35.4450,0,E17
9884,HIP9884,31.793333,23.462222,20.2000,K2III,-36.2057,1,E17
10138,HIP10138,32.607917,-50.823611,10.9000,K0V,-61.9611,1,E17
10279,HIP10279,33.087500,3.575556,10.3000,M3V:,-53.6136,0,E17
10306,HIP10306,33.200417,21.210833,30.1000,F5V,-37.8054,0,E17
10337,HIP10337,33.300833,-21.196389,23.2000,K7V,-70.4577,1,E17
10395,HIP10395,33.473333,-32.041111,12.3000,---,-71.4460,0,E17
10416,HIP10416,33.556667,-3.635000,22.8000,K2,-59.2923,0,E17
10542,HIP10542,33.942083,-18.238056,22.2000,K3V,-68.6550,0,E17
10617,HIP10617,34.171667,-30.988333,14.2000,---,-71.0065,0,E17
10644,HIP10644,34.263333,34.224167,10.8000,G0V,-25.3831,0,E17
10670,HIP10670,34.328750,33.846944,36.0000,A1Vnn,-25.7154,0,E17
10723,HIP10723,34.505833,1.757778,24.9000,G0.5IV,-54.3752,0,E17
10798,HIP10798,34.743750,-25.945556,12.6000,G8V,-70.4102,0,E17
10812,HIP10812,34.792083,-36.778056,13.9000,---,-69.1085,0,E17
10925,HIP10925,35.178750,-39.033611,25.4000,K3/K4V,-67.9257,0,E17
11000,HIP11000,35.435000,-6.879444,26.7000,K0,-60.5160,0,E17
11001,HIP11001,35.437083,-68.659167,41.4000,A3V,-46.3671,0,E17
11029,HIP11029,35.506250,10.777500,29.8000,F0V,-46.1877,0,E17
11048,HIP11048,35.560833,47.880000,11.9000,M2,-12.2652,1,E17
11090,HIP11090,35.709583,41.396111,47.2000,F0III-I,-18.2831,0,E17
11452,HIP11452,36.941250,4.431944,16.6000,K7V:,-50.7925,0,E17
11477,HIP11477,37.007083,-33.810833,46.8000,A2/A3V,-68.2019,0,E17
11565,HIP11565,37.257083,-19.978889,18.9000,K4V,-66.5680,0,E17
11569,HIP11569,37.266250,67.402222,43.4000,A5p Sr,6.2894,0,E17
11759,HIP11759,37.927083,-15.273333,26.1000,K2V,-63.8707,0,E17
11783,HIP11783,38.021667,-15.244444,25.8000,F5V,-63.7776,0,E17
11852,HIP11852,38.245417,-72.687222,22.5000,K4V,-42.4232,0,E17
11964,HIP11964,38.594167,-43.796111,11.5000,K7V com,-63.4144,0,E17
12097,HIP12097,38.972083,20.219722,13.9000,M2,-36.3205,0,E17
12110,HIP12110,39.003333,-23.521111,21.2000,K3V,-66.1391,0,E17
12114,HIP12114,39.020417,6.886667,7.2000,K3V,-47.5935,0,E17
12158,HIP12158,39.174167,-3.156111,24.3000,K0,-55.2509,0,E17
12225,HIP12225,39.351667,-52.543056,44.4000,A6V,-57.8211,0,E17
12351,HIP12351,39.755000,-58.186944,16.5000,M0Ve,-53.6965,0,E17
12390,HIP12390,39.890833,-11.871944,27.0000,F5V,-60.4138,0,E17
12394,HIP12394,39.897500,-68.266667,47.0000,B9III,-45.8159,0,E17
