hip,name,ra_deg,dec_deg,dist_pc,spec_type,gal_lat,exoplanet,bl_paper,object_type
101642,HIP101642,309.04843773019,34.22450662686,,,,,,Star
101659,HIP101659,309.10037770442,62.01445411571,,,,,,Star
101663,HIP101663,309.1058889867799,34.14119911244,,,,,,Star
10167,HIP10167,32.68988153697,-12.92664634587,,,,,,Star
101670,HIP101670,309.12045849902,63.40562760352,,,,,,HighPM*
101681,HIP101681,309.15405553321,62.43197671959,,,,,,Star
101682,HIP101682,309.15481123463,30.78988157439,,,,,,Star
10169,HIP10169,32.69418155072,30.07826481901,,,,,,**
101694,HIP101694,309.1880796816,14.7159535876,,,,,,HighPM*
101700,HIP101700,309.20590364056,14.72846522726,,,,,,Star
101701,HIP101701,309.206888703,68.55802008038,,,,,,Star
101709,HIP101709,309.24472061903,32.35129512328,,,,,,SB*
101715,HIP101715,309.26698903006,67.50429085497,,,,,,Star
10172,HIP10172,32.70674486985,-7.68483648191,,,,,,HighPM*
101720,HIP101720,309.28314832648,36.58397357066,,,,,,Star
101762,HIP101762,309.36808720548,32.0550711644,,,,,,Star
101782,HIP101782,309.42321032406,19.07030011246,,,,,,Star
10181,HIP10181,32.72680036245,23.79916041339,,,,,,**
101811,HIP101811,309.48274391348,-11.03311306202,,,,,,Star
101825,HIP101825,309.52473017336,46.88581325461,,,,,,Star
10184,HIP10184,32.73318713139,5.08494074074,,,,,,Star
10185,HIP10185,32.735243679,-15.31475554739,,,,,,Star
101864,HIP101864,309.62495367684,18.86979337948,,,,,,HighPM*
10188,HIP10188,32.74472577328,-1.91464508589,,,,,,Star
101893,HIP101893,309.73071869386,26.70035401196,,,,,,Star
101900,HIP101900,309.75075545088,56.00484842843,,,,,,Star
101903,HIP101903,309.75790068546,56.18876330035,,,,,,Star
101915,HIP101915,309.78049223709,19.56009405378,,,,,,Star
101934,HIP101934,309.8463642069499,45.66692791781,,,,,,Star
101938,HIP101938,309.86103773369,65.14566965259,,,,,,Star
101944,HIP101944,309.88036932707,26.69763277225,,,,,,Star
101956,HIP101956,309.90573622977,-10.57167000128,,,,,,HighPM*
101963,HIP101963,309.9373517492737,47.3452723648831,,,,,,Star
10199,HIP10199,32.78598651725,30.11573212955,,,,,,Star
101997,HIP101997,310.0489796404713,-23.7738662832758,,,,,,HighPM*
101999,HIP101999,310.05229275838,-15.37542748505,,,,,,HighPM*
102001,HIP102001,310.05497909235,54.26764475498,,,,,,Star
10201,HIP10201,32.78885146682,23.21677588325,,,,,,HighPM*
102011,HIP102011,310.0745515760099,60.50526498408,,,,,,HighPM*
102029,HIP102029,310.1471658510399,15.64322966547,,,,,,**
102034,HIP102034,310.15177896113,31.35795924587,,,,,,Star
102038,HIP102038,310.17699484022,14.52690357096,,,,,,Star
10207,HIP10207,32.82868501656,15.96683328705,,,,,,Star
10208,HIP10208,32.82879173336,-5.64241252263,,,,,,Star
102089,HIP102089,310.34014932872,31.87000178388,,,,,,Star
102111,HIP102111,310.39441885846,59.98663338229,,,,,,Star
102114,HIP102114,310.40690337882,13.80880375558,,,,,,Star
102126,HIP102126,310.43246540672,32.77402625536,,,,,,Star
102130,HIP102130,310.44025086823,-10.94548452596,,,,,,SB*
102141,HIP102141,310.46316354,-32.43523009,,,,,,**
10218,HIP10218,32.84644921955,21.37734478764,,,,,,BYDraV*
102186,HIP102186,310.5782622595245,-52.6992645442228,,,,,,HighPM*
102193,HIP102193,310.58849138591,63.35102837428,,,,,,SB*
10221,HIP10221,32.85640237463,26.10449835006,,,,,,HighPM*
102216,HIP102216,310.66535850798,60.60131766816,,,,,,Star
10222,HIP10222,32.85985095864,37.35219578286,,,,,,PulsV*
102264,HIP102264,310.8166647696537,-29.4239050144144,,,,,,SB*
102273,HIP102273,310.8388013029,15.19582232508,,,,,,HighPM*
102281,HIP102281,310.8647231393717,15.0745786848461,,,,,,delSctV*
102289,HIP102289,310.89194669067,-15.1873181007,,,,,,Star
102309,HIP102309,310.94863373614,23.79111157488,,,,,,Star
102351,HIP102351,311.06815408119,-9.04965535419,,,,,,Star
102362,HIP102362,311.10622228437,-8.42769112653,,,,,,Star
1024,HIP1024,3.19092917682,31.30966547698,,,,,,Star
102409,HIP102409,311.2897187392163,-31.3408994138447,,,,,,BYDraV*
10242,HIP10242,32.93090214437,3.45271198522,,,,,,Star
102420,HIP102420,311.31416244887,25.17514704485,,,,,,HighPM*
102429,HIP102429,311.3367781294,68.8724062381,,,,,,Star
102436,HIP102436,311.35057875894,-7.73453783265,,,,,,Star
102466,HIP102466,311.4568125690499,68.55223203529,,,,,,HighPM*
10249,HIP10249,32.95456419573,-12.90677740037,,,,,,Star
102490,HIP102490,311.55544448,15.90730814,,,,,,**
10252,HIP10252,32.97246875378,-4.36428558332,,,,,,HighPM*
102537,HIP102537,311.68566548317,24.46253048306,,,,,,Star
102544,HIP102544,311.70530310344,63.98581690925,,,,,,HighPM*
102569,HIP102569,311.78868847684,-12.39097676479,,,,,,**
10257,HIP10257,32.98081981108,49.59653909169,,,,,,Star
1026,HIP1026,3.20017766849,46.09540393863,,,,,,HighPM*
102602,HIP102602,311.8933283413704,-14.4260189164672,,,,,,HighPM*
102664,HIP102664,312.0632893379,-12.45430132406,,,,,,Star
102665,HIP102665,312.0638227646199,14.74144045992,,,,,,Star
102671,HIP102671,312.0769149518,-13.48866346391,,,,,,Star
102679,HIP102679,312.10039859708,-3.66332763571,,,,,,HighPM*
102713,HIP102713,312.17838307142,19.8595541968,,,,,,Star
102716,HIP102716,312.19934982427,48.23322758142,,,,,,Star
10272,HIP10272,33.06420845,23.95820282,,,,,,**
102735,HIP102735,312.26205945944,19.81521599508,,,,,,Star
10276,HIP10276,33.07511584158,21.98267435215,,,,,,HighPM*
102793,HIP102793,312.3725931726804,-8.6525021393872,,,,,,HighPM*
10282,HIP10282,33.09750974559,50.25280246703,,,,,,Star
102836,HIP102836,312.50453410867,20.88008373282,,,,,,PulsV*
10285,HIP10285,33.12220661428,79.69329752827,,,,,,SB*
102857,HIP102857,312.57320748921,17.21222976645,,,,,,Star
10288,HIP10288,33.12487640162,10.32881082934,,,,,,Star
